# t (s)	mx ()	my ()	mz ()	E_total (J)
3.28e-07	0.92402405	-0.26495963	0	2.946294e-21
3.29e-07	0.9285836	-0.25751904	0	3.921693e-21
3.3e-07	0.9330127	-0.25	0	4.86916e-21
3.3100000000000004e-07	0.93730986	-0.24240479	0	5.78842e-21
3.32e-07	0.94147384	-0.23473579	0	6.679174e-21
3.3300000000000003e-07	0.94550323	-0.22699524	0	7.541164e-21
3.34e-07	0.94939715	-0.21918556	0	8.374122e-21
3.35e-07	0.9531539	-0.21130913	0	9.177803e-21
3.3600000000000004e-07	0.9567726	-0.20336834	0	9.951947e-21
3.37e-07	0.96025246	-0.19536556	0	1.0696329e-20
3.3800000000000004e-07	0.96359193	-0.18730327	0	1.14107215e-20
3.39e-07	0.96679014	-0.179184	0	1.20949065e-20
3.4000000000000003e-07	0.96984625	-0.17101009	0	1.2748669e-20
3.41e-07	0.97275925	-0.16278408	0	1.337182e-20
3.42e-07	0.97552824	-0.1545085	0	1.3964164e-20
3.4300000000000004e-07	0.97815245	-0.14618586	0	1.452552e-20
3.44e-07	0.9806309	-0.13781868	0	1.505572e-20
3.4500000000000003e-07	0.98296297	-0.12940954	0	1.5554598e-20
3.46e-07	0.9851478	-0.12096095	0	1.6022007e-20
3.47e-07	0.987185	-0.11247553	0	1.6457802e-20
3.4800000000000005e-07	0.9890738	-0.10395584	0	1.6861852e-20
3.49e-07	0.9908136	-0.09540451	0	1.723403e-20
3.5000000000000004e-07	0.99240386	-0.08682409	0	1.7574226e-20
3.51e-07	0.99384415	-0.07821723	0	1.7882336e-20
3.5200000000000003e-07	0.99513406	-0.06958656	0	1.8158267e-20
3.53e-07	0.99627304	-0.060934674	0	1.8401928e-20
3.54e-07	0.99726087	-0.052264232	0	1.861326e-20
3.5500000000000004e-07	0.99809736	-0.043577872	0	1.8792182e-20
3.56e-07	0.99878204	-0.034878235	0	1.8938649e-20
3.5700000000000003e-07	0.9993148	-0.02616798	0	1.9052614e-20
3.58e-07	0.9996954	-0.017449748	0	1.9134043e-20
3.59e-07	0.9999239	-0.008726204	0	1.918291e-20
